"","SPY.Adjusted"
"1",0.00211976957248794
"2",-0.00800804421831014
"3",0.00461454347332246
"4",-0.000850825068472005
"5",0.00332666454067532
"6",0.00437092207573286
"7",0.00756837065179461
"8",-0.00195657167199759
"9",0.000419020994875119
"10",-0.00336148720761553
"11",0.00196233164311188
"12",-0.00308530078403102
"13",0.00294521602058762
"14",0.0080208613649706
"15",-0.0118095069309723
"16",-0.000914552883791053
"17",-0.000562460650590957
"18",0.00519579018557792
"19",0.00670062047040876
"20",0.00596485795120305
"21",0.00138191079820782
"22",0.000276181666821529
"23",0.000276381630303746
"24",0.00220623589877977
"25",-0.00130937295104339
"26",-0.00747527034571505
"27",-0.00341006134144273
"28",0.00839946623480703
"29",0.00654596878502023
"30",0.00130407099691965
"31",-0.00048043681428922
"32",0.00212480369537627
"33",-0.000411026224884203
"34",-0.000753745229511438
"35",-0.00391482198668758
"36",-0.000895480670383364
"37",-0.039840794089387
"38",0.0101984264126092
"39",-0.00298463993915021
"40",-0.0131814424853971
"41",-0.00956430065700609
"42",0.0169645258721793
"43",-0.00100245433134205
"44",0.00841943003783108
"45",0.000284304877776975
"46",0.00149053882823491
"47",-0.0196253257609538
"48",0.00742254887530347
"49",0.00136336326155373
"50",-0.0028042191126918
"51",0.0119831333694931
"52",0.00547708591074691
"53",0.0163236525427166
"54",-0.000768161695958725
"55",0.00146574159111523
"56",-0.00132617642488331
"57",-0.00237719622218791
"58",-0.00730617068081418
"59",0.00105695784691839
"60",0.000211436879299143
"61",0.00112607676234688
"62",0.0107050218510629
"63",0.00111325111028382
"64",0.00270732681795582
"65",0.00138542288116916
"66",0.00117640009350506
"67",-0.00408853512119212
"68",0.00443399323510185
"69",0.00455188673750673
"70",0.00945138703127046
"71",0.00265532667519963
"72",0.00122310897249633
"73",-0.000271765902525978
"74",0.0093964006333378
"75",-0.00377502024293719
"76",0.000405241163305092
"77",0.00913999212518313
"78",0.00113649169787688
"79",-0.000802286551846443
"80",-0.00832699892313649
"81",0.00255905688972735
"82",0.00583479373903995
"83",0.0054020814118152
"84",0.00378400568228709
"85",0.000198831153261914
"86",-0.0013259585526928
"87",0.00271616886770865
"88",-0.0105078180032603
"89",0.00852143882870671
"90",-0.00219019997434344
"91",0.000266142016817739
"92",0.00681723541306312
"93",-0.00198099879878733
"94",0.00868656736366447
"95",-0.000524224652435734
"96",-0.000787341934894492
"97",0.000131366532783339
"98",-0.00909374136721652
"99",0.00416175970329213
"100",0.00361892436073585
"101",0.00811220951558589
"102",-0.00104285337562615
"103",0.00494475782523018
"104",0.000129625845190162
"105",-0.0039664576951095
"106",-0.0108079960759948
"107",-0.0182101579877729
"108",0.0129274935049821
"109",0.00172006843758599
"110",-0.0109654931983609
"111",0.0148573632986961
"112",0.00636574119053446
"113",0.00567416524192854
"114",-0.00117679203062693
"115",0.00248222835198497
"116",-0.0139944348824761
"117",0.00554194245886475
"118",-0.00945366854444085
"119",-0.00479377764350097
"120",-0.0103314544300206
"121",0.0141286661096416
"122",-0.000132764349944026
"123",0.000332209781646498
"124",0.00900017155759958
"125",0.00361689538630205
"126",-0.00105122342760033
"127",0.00524336026875361
"128",0.000784541262562222
"129",-0.0143419412693016
"130",0.00706499940148664
"131",0.0156670910687318
"132",0.00297468276141188
"133",-0.000128568446427835
"134",-0.000516482807727314
"135",-0.00181119010077602
"136",0.00387646401396768
"137",-0.0101761357603536
"138",0.00305744349775239
"139",-0.0174933921013256
"140",0.00204698776412027
"141",-0.0239643267933394
"142",-0.0198549439575428
"143",0.0155220887691661
"144",-0.0113272510086482
"145",0.00486001256889601
"146",0.00795839339723248
"147",-0.0260822177248308
"148",0.0166206758085066
"149",0.0106129284337229
"150",0.0138442803263379
"151",-0.0300812790564358
"152",-0.00468793723780436
"153",0.00358670844416231
"154",-0.0154041793712283
"155",-0.0138710720725959
"156",0.00748771879668908
"157",0.0182008242029728
"158",-0.000484323159413158
"159",0.00200337624101987
"160",0.0117977288251101
"161",-0.000886600566955664
"162",0.0122771008837539
"163",-0.00934680910761809
"164",-0.0222253138904591
"165",0.0194312226769435
"166",-0.00266475144832157
"167",0.00980447924850658
"168",0.0100452242487457
"169",-0.00869108952529807
"170",0.00229849290840178
"171",-0.0140044741409904
"172",-0.0019189826292445
"173",0.0115929693504455
"174",0.00257339169047377
"175",0.00700855845876536
"176",-6.74397432964824e-05
"177",-0.0053873521450134
"178",0.0290150404159641
"179",0.0058858501072514
"180",-0.00706709291170515
"181",0.00269479038391207
"182",-0.00184415594747112
"183",-0.00197965242771847
"184",0.0052702271381424
"185",0.00589599999938173
"186",-0.00333638402897396
"187",0.0112098787578851
"188",-0.00136239667411875
"189",-0.00201378045427969
"190",0.00155989459921635
"191",0.011811144056713
"192",-0.00533980615370577
"193",0.00937349299456525
"194",-0.00166212011355071
"195",-0.00481256430320975
"196",0.0055160785620636
"197",-0.00847948614620453
"198",-0.00796663349588744
"199",0.00305168242358089
"200",-0.00363686139622299
"201",-0.0265047622216503
"202",0.00579594260160565
"203",0.00807155027308326
"204",-0.00184709698663621
"205",0.00237421293741669
"206",0.0116545717896903
"207",0.00331428082746399
"208",-0.00696659150691925
"209",0.0103343563480065
"210",-0.0236855941119138
"211",0.00112488919254794
"212",-0.00763505009666954
"213",0.0133726456964984
"214",-0.0277372290177187
"215",-0.00508350809540481
"216",-0.0138211877867658
"217",-0.00997145849326309
"218",0.0300245605888856
"219",-0.00277213561079748
"220",-0.0145293796522212
"221",0.00171656486596117
"222",-0.0140220451460342
"223",0.00610246866818631
"224",-0.0206765178119532
"225",0.0171442034744089
"226",-0.0223102797950023
"227",0.0114276952377139
"228",0.0314836090782844
"229",0.000339727625887853
"230",0.0100055395475716
"231",-0.00661403515837566
"232",-0.00897858767500015
"233",0.0166012446119055
"234",0.014212048688643
"235",-0.000198609745945433
"236",0.00772303376489614
"237",-0.0278029511815809
"238",0.00982257829241195
"239",-0.00207794218223167
"240",-0.0127603591630479
"241",-0.0143715302610969
"242",0.00556784983330516
"243",0
"244",0.00628655285152124
"245",0.0143126692366291
"246",0.00739813471296369
"247",0.00214236073280372
"248",-0.0126507061626668
"249",-0.00250866310397679
"250",-0.0074272913213278
"251",-0.00879319469341056
"252",-0.000483242725943356
"253",-0.0248120004230028
"254",-0.000849282330790402
"255",-0.0162802324244584
"256",0.0104553910080849
"257",0.00653278377718092
"258",-0.00810122075986364
"259",0.00803044010034526
"260",-0.0222590287932274
"261",-0.008649586483501
"262",-0.0262581070285064
"263",-0.0103206838853129
"264",-0.0101987141266751
"265",0.0237368072112663
"266",0.00840627964704233
"267",-0.0145509120953147
"268",0.0164014024062933
"269",0.00494198811929802
"270",-0.00738528636410152
"271",0.0180699563555802
"272",0.0159600806435121
"273",-0.0126894741779466
"274",-0.027138747502133
"275",-0.00808468840143384
"276",0.0065923444614544
"277",-0.00644203264369736
"278",0.00509699637638583
"279",0.0092283728221032
"280",0.0101711407410114
"281",-0.008838592312153
"282",-0.000222113520504941
"283",0.00280802200598451
"284",0.00294724430179993
"285",-0.00834853095719268
"286",0.00613897789452444
"287",0.012529637049072
"288",0.00747273781490954
"289",-0.00101257344528616
"290",-0.00981524392487554
"291",-0.0225358474934616
"292",-0.00239413750963635
"293",-0.00382745365975534
"294",0.00629638376419095
"295",-0.0209149940087068
"296",-0.0103541811655088
"297",-0.013270827682911
"298",0.0353071270622758
"299",-0.00939556349666404
"300",0.00220494708758956
"301",-0.0156168520332924
"302",-0.0101587221628314
"303",0.0407034502101506
"304",-0.0250815620918097
"305",0.0183530605744977
"306",0.0197907665910018
"307",0.000964600155841211
"308",-0.0123113745374974
"309",-0.0031581236423941
"310",-0.00961084978042326
"311",0.00349176234924187
"312",0.0345555233912549
"313",0.000659010400827498
"314",0.0024841068223509
"315",-0.00109532742623042
"316",0.00051067583733122
"317",-0.00102210121636226
"318",-0.00726238237490762
"319",0.00139816971390871
"320",-0.0195999635445885
"321",-0.00337934510158799
"322",0.00232957838821246
"323",0.0267331519853249
"324",0.00146021920369854
"325",0.0103802136658224
"326",0.000505232632459496
"327",-0.00441222957634047
"328",-0.00159633442358142
"329",0.00434705033015437
"330",0.00921166335034407
"331",0.000215124235571906
"332",-0.00394678159323902
"333",-0.00591390270714864
"334",0.0204749329724185
"335",0.00275933316968757
"336",-0.00481681209685725
"337",0.00862611679036096
"338",-0.0179714497112
"339",-0.00258345555684603
"340",-0.00186995123889933
"341",0.0111680984898639
"342",0.000142642043464036
